unitid,institution name,year,institution name,IC2021.Open admission policy,IC2021.Institutional control or affiliation,IC2021.Religious affiliation,IC2021mission.Mission statement,IC2021mission.Mission statement URL (if mission statement not provided),HD2021.Institution size category,HD2021.State abbreviation,HD2021.FIPS state code,HD2021.Sector of institution,HD2021.Level of institution,HD2021.Control of institution,HD2021.Degree-granting status,HD2021.Historically Black College or University,HD2021.Tribal college,HD2021.Land Grant Institution,HD2021.Degree of urbanization (Urban-centric locale),HD2021.Institutional category,HD2021.Carnegie Classification 2021: Basic,,,,,,,,,,,,,,
100654,Alabama A & M University,2021,Alabama A & M University,No,Public,Not applicable,,www.aamu.edu/about/strategic-plan/mission-vision-values.html,"5,000 - 9,999",Alabama,Alabama,"Public, 4-year or above",Four or more years,Public,Degree-granting,Yes,No,Land Grant Institution,City: Midsize,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Larger Programs,,,,,,,,,,,,,,
100663,University of Alabama at Birmingham,2021,University of Alabama at Birmingham,No,Public,Not applicable,,https://www.uab.edu/plan/the-plan/mission-vision-shared-values,"20,000 and above",Alabama,Alabama,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,City: Midsize,"Degree-granting, primarily baccalaureate or above",Doctoral Universities: Very High Research Activity,,,,,,,,,,,,,,
100690,Amridge University,2021,Amridge University,Yes,Private not-for-profit (religious affiliation),Churches of Christ,"Amridge University is an independent, coeducational institution dedicated to the spirit of its Christian ideals and heritage. With a commitment to academic excellence, distance education, and spiritual vitality, Amridge University’s mission is to prepare men and women for a lifetime of learning, leadership, and service to their professions, society, church, and family, through teaching, learning experiences, and support services.",,"Under 1,000",Alabama,Alabama,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,City: Midsize,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Small Programs,,,,,,,,,,,,,,
100706,University of Alabama in Huntsville,2021,University of Alabama in Huntsville,No,Public,Not applicable,,www.uah.edu/about/mission,"5,000 - 9,999",Alabama,Alabama,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,City: Midsize,"Degree-granting, primarily baccalaureate or above",Doctoral Universities: Very High Research Activity,,,,,,,,,,,,,,
100724,Alabama State University,2021,Alabama State University,No,Public,Not applicable,"Alabama State University is a comprehensive diverse student- centered public HBCU committed to global excellence in teaching, research and service.  The University fulfills its mission by:  Fostering critical thought Encouraging artistic creativity Developing professional competence Promoting responsible citizenship in its students Adding to the academic and experiential bodies of knowledge Enhancing the quality of life through research and discovery Cultivating global citizenship through thoughtful (meaningful, purposeful conscientious, intentional) and engaging public service",,"1,000 - 4,999",Alabama,Alabama,"Public, 4-year or above",Four or more years,Public,Degree-granting,Yes,No,Not a Land Grant Institution,City: Midsize,"Degree-granting, primarily baccalaureate or above",Doctoral/Professional Universities,,,,,,,,,,,,,,
100733,University of Alabama System Office,2021,University of Alabama System Office,Not applicable,Public,Not applicable,,,Not applicable,Alabama,Alabama,Administrative Unit,Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,City: Small,Not applicable,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,,,,,,,
100751,The University of Alabama,2021,The University of Alabama,No,Public,Not applicable,,https://ua.edu/about/mission,"20,000 and above",Alabama,Alabama,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,City: Small,"Degree-granting, primarily baccalaureate or above",Doctoral Universities: Very High Research Activity,,,,,,,,,,,,,,
100760,Central Alabama Community College,2021,Central Alabama Community College,Yes,Public,Not applicable,"Central Alabama Community College promotes student success in comprehensive and diverse academic and career learning environments to advance quality of life through economic, community, and workforce development.",,"1,000 - 4,999",Alabama,Alabama,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,Town: Distant,"Degree-granting, associate's and certificates",Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,,,,,,,,,,,,,,
100812,Athens State University,2021,Athens State University,Not applicable,Public,Not applicable,,https://www.athens.edu/about/vision/,"1,000 - 4,999",Alabama,Alabama,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,Town: Fringe,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges: Diverse Fields,,,,,,,,,,,,,,
100830,Auburn University at Montgomery,2021,Auburn University at Montgomery,No,Public,Not applicable,"The mission of Auburn University at Montgomery is to provide quality and diverse educational opportunities at the undergraduate and graduate levels through use of traditional and electronic delivery systems, and to foster and support an environment conducive to teaching, research, scholarship, and collaboration with government agencies, our community, and other educational institutions.",,"5,000 - 9,999",Alabama,Alabama,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,City: Midsize,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Larger Programs,,,,,,,,,,,,,,
